recId|SeqNumber|seqLength|displayLatitude|displayLongitude|locationLabel|houseNumber|street|district|city|postalCode|county|state|country
C10|1|1|42.12259|-89.26558|803 River Dr, Byron, IL 61010, United States|803|River Dr||Byron|61010|Ogle|IL|USA
C11|1|1|42.12352|-89.26562|803 Park Dr, Byron, IL 61010, United States|803|Park Dr||Byron|61010|Ogle|IL|USA
C12|1|1|42.12291|-89.26759|915 River Dr, Byron, IL 61010, United States|915|River Dr||Byron|61010|Ogle|IL|USA
C13|1|1|42.12372|-89.26986|127 S Maple Ave, Byron, IL 61010, United States|127|S Maple Ave||Byron|61010|Ogle|IL|USA
C14|1|1|42.1227804|-89.2703333|200 S Maple Ave, Byron, IL 61010, United States|200|S Maple Ave||Byron|61010|Ogle|IL|USA
C15|1|1|42.12387|-89.27111|123 Perene Ave, Byron, IL 61010, United States|123|Perene Ave||Byron|61010|Ogle|IL|USA
C16|1|1|42.122659|-89.2716119|198 Perene Ave, Byron, IL 61010, United States|198|Perene Ave||Byron|61010|Ogle|IL|USA
C17|1|1|42.1237|-89.2724|127 Barry Ave, Byron, IL 61010, United States|127|Barry Ave||Byron|61010|Ogle|IL|USA
C18|1|1|42.1226601|-89.2728449|198 Barry Ave, Byron, IL 61010, United States|198|Barry Ave||Byron|61010|Ogle|IL|USA
C19|1|1|42.1254467|-89.2750502|100 S Fox Run Ln, Byron, IL 61010, United States|100|S Fox Run Ln||Byron|61010|Ogle|IL|USA
C20|1|1|42.12426|-89.27572|135 S Fox Run Ln, Byron, IL 61010, United States|135|S Fox Run Ln||Byron|61010|Ogle|IL|USA
C21|1|1|42.12365|-89.27599|149 S Fox Run Ln, Byron, IL 61010, United States|149|S Fox Run Ln||Byron|61010|Ogle|IL|USA
C22|1|1|42.12293|-89.27502|169 S Fox Run Ln, Byron, IL 61010, United States|169|S Fox Run Ln||Byron|61010|Ogle|IL|USA
C23|1|1|42.12318|-89.2744|196 S Fox Run Ln, Byron, IL 61010, United States|196|S Fox Run Ln||Byron|61010|Ogle|IL|USA
C24|1|1|42.12362|-89.27516|154 Deerwood Ct, Byron, IL 61010, United States|154|Deerwood Ct||Byron|61010|Ogle|IL|USA
C25|1|1|42.12517|-89.266|W Blackhawk Dr, Byron, IL 61010, United States||W Blackhawk Dr||Byron|61010|Ogle|IL|USA
C26|1|1|42.12711|-89.27647|220 Creekside Dr, Byron, IL 61010, United States|220|Creekside Dr||Byron|61010|Ogle|IL|USA
C27|1|1|42.12789|-89.2761|310 Creekside Dr, Byron, IL 61010, United States|310|Creekside Dr||Byron|61010|Ogle|IL|USA
C28|1|1|42.12861|-89.27546|Creekside Dr, Byron, IL 61010, United States||Creekside Dr||Byron|61010|Ogle|IL|USA
C29|1|1|42.12924|-89.2739|427 Mill Ridge Dr, Byron, IL 61010, United States|427|Mill Ridge Dr||Byron|61010|Ogle|IL|USA
C30|1|1|42.13063|-89.27393|523 Mill Ridge Dr, Byron, IL 61010, United States|523|Mill Ridge Dr||Byron|61010|Ogle|IL|USA
C31|1|1|42.13184|-89.2745|1405 Crimson Ridge Ln, Byron, IL 61010, United States|1405|Crimson Ridge Ln||Byron|61010|Ogle|IL|USA
C32|1|1|42.12955|-89.27581|434 Creekside Ct, Byron, IL 61010, United States|434|Creekside Ct||Byron|61010|Ogle|IL|USA
C33|1|1|42.13066|-89.27521|523 Creekside Dr, Byron, IL 61010, United States|523|Creekside Dr||Byron|61010|Ogle|IL|USA
C34|1|1|42.1305749|-89.2758487|544 Creekside Cir, Byron, IL 61010, United States|544|Creekside Cir||Byron|61010|Ogle|IL|USA
C35|1|1|42.12861|-89.27546|Creekside Dr, Byron, IL 61010, United States||Creekside Dr||Byron|61010|Ogle|IL|USA
D01|1|1|42.1264847|-89.2577961|200 W 2nd St, Byron, IL 61010, United States|200|W 2nd St||Byron|61010|Ogle|IL|USA
D02|1|1|42.1266945|-89.2604317|200 N Franklin St, Byron, IL 61010, United States|200|N Franklin St||Byron|61010|Ogle|IL|USA
D03|1|1|42.1266507|-89.2617614|200 N Lafayette St, Byron, IL 61010, United States|200|N Lafayette St||Byron|61010|Ogle|IL|USA
D05|1|1|42.1265524|-89.2662752|733 W 2nd St, Byron, IL 61010, United States|733|W 2nd St||Byron|61010|Ogle|IL|USA
D05.5|1|1|42.12616|-89.26572|802 W 2nd St, Byron, IL 61010, United States|802|W 2nd St||Byron|61010|Ogle|IL|USA
D06|1|1|42.12605|-89.26661|830 W 2nd St, Byron, IL 61010, United States|830|W 2nd St||Byron|61010|Ogle|IL|USA
D07|1|1|42.1262651|-89.2671068|932 W 2nd St, Byron, IL 61010, United States|932|W 2nd St||Byron|61010|Ogle|IL|USA
D08|1|1|42.125249|-89.2695312|100 N Maple Ave, Byron, IL 61010, United States|100|N Maple Ave||Byron|61010|Ogle|IL|USA
D09|1|1|42.1262487|-89.267782|1014 W 2nd St, Byron, IL 61010, United States|1014|W 2nd St||Byron|61010|Ogle|IL|USA
D10|1|1|42.12671|-89.2727|1165 W 2nd St, Byron, IL 61010, United States|1165|W 2nd St||Byron|61010|Ogle|IL|USA
D11|1|1|42.12671|-89.2727|1177 W 2nd St, Byron, IL 61010, United States|1177|W 2nd St||Byron|61010|Ogle|IL|USA
D12|1|1|42.12602|-89.27305|1182 W 2nd St, Byron, IL 61010, United States|1182|W 2nd St||Byron|61010|Ogle|IL|USA
D13|1|1|42.1279877|-89.2665166|130 Blanchard Ct, Byron, IL 61010, United States|130|Blanchard Ct||Byron|61010|Ogle|IL|USA
D14|1|1|42.12762|-89.26725|112 Blanchard Ct, Byron, IL 61010, United States|112|Blanchard Ct||Byron|61010|Ogle|IL|USA
D15|1|1|42.12608|-89.27551|108 N Fox Run Ln, Byron, IL 61010, United States|108|N Fox Run Ln||Byron|61010|Ogle|IL|USA
D16|1|1|42.12731|-89.27488|138 N Fox Run Ln, Byron, IL 61010, United States|138|N Fox Run Ln||Byron|61010|Ogle|IL|USA
D17|1|1|42.12832|-89.27386|170 N Fox Run Ln, Byron, IL 61010, United States|170|N Fox Run Ln||Byron|61010|Ogle|IL|USA
D18|1|1|42.1263|-89.25848|232 W 2nd St, Byron, IL 61010, United States|232|W 2nd St||Byron|61010|Ogle|IL|USA
D19|1|1|42.12729|-89.25859|221 N Washington St, Byron, IL 61010, United States|221|N Washington St||Byron|61010|Ogle|IL|USA
E01|1|1|42.1277145|-89.2562318|100 W 3rd St, Byron, IL 61010, United States|100|W 3rd St||Byron|61010|Ogle|IL|USA
E02|1|1|42.1276447|-89.2591859|300 W 3rd St, Byron, IL 61010, United States|300|W 3rd St||Byron|61010|Ogle|IL|USA
E03|1|1|42.1288789|-89.2575076|399 N Walnut St, Byron, IL 61010, United States|399|N Walnut St||Byron|61010|Ogle|IL|USA
E04|1|1|42.13161|-89.25751|131 W 6th St, Byron, IL 61010, United States|131|W 6th St||Byron|61010|Ogle|IL|USA
E05|1|1|42.1335311|-89.2576331|8129 N Barker Rd, Byron, IL 61010, United States|8129|N Barker Rd||Byron|61010|Ogle|IL|USA
E06|1|1|42.1279108|-89.2591714|300 N Washington St, Byron, IL 61010, United States|300|N Washington St||Byron|61010|Ogle|IL|USA
E07|1|1|42.12777|-89.25993|W 3rd St, Byron, IL 61010, United States||W 3rd St||Byron|61010|Ogle|IL|USA
E08.5|1|1|42.12734|-89.26325|540 W 3rd St, Byron, IL 61010, United States|540|W 3rd St||Byron|61010|Ogle|IL|USA
E10|1|1|42.12863|-89.26004|328 W 4th St, Byron, IL 61010, United States|328|W 4th St||Byron|61010|Ogle|IL|USA
E11|1|1|42.12993|-89.25968|425 Ashelford Ct, Byron, IL 61010, United States|425|Ashelford Ct||Byron|61010|Ogle|IL|USA
E12|1|1|42.129728|-89.2601315|415 Ashelford Ct, Byron, IL 61010, United States|415|Ashelford Ct||Byron|61010|Ogle|IL|USA
E13|1|1|42.12902|-89.264|420 N Colfax St, Byron, IL 61010, United States|420|N Colfax St||Byron|61010|Ogle|IL|USA
E14|1|1|42.1303213|-89.2636778|425 N Colfax St, Byron, IL 61010, United States|425|N Colfax St||Byron|61010|Ogle|IL|USA
E15|1|1|42.1303213|-89.2636778|425 N Colfax St, Byron, IL 61010, United States|425|N Colfax St||Byron|61010|Ogle|IL|USA
E16|1|1|42.1320334|-89.2640249|696 N Colfax St, Byron, IL 61010, United States|696|N Colfax St||Byron|61010|Ogle|IL|USA
E16.1|1|1|42.1320334|-89.2640249|696 N Colfax St, Byron, IL 61010, United States|696|N Colfax St||Byron|61010|Ogle|IL|USA
E16.2|1|1|42.1320334|-89.2640249|696 N Colfax St, Byron, IL 61010, United States|696|N Colfax St||Byron|61010|Ogle|IL|USA
E16.3|1|1|42.1320334|-89.2640249|696 N Colfax St, Byron, IL 61010, United States|696|N Colfax St||Byron|61010|Ogle|IL|USA
E16.4|1|1|42.1320334|-89.2640249|696 N Colfax St, Byron, IL 61010, United States|696|N Colfax St||Byron|61010|Ogle|IL|USA
E20|1|1|42.13363|-89.26332|789 N Colfax St, Byron, IL 61010, United States|789|N Colfax St||Byron|61010|Ogle|IL|USA
E21|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E22|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E23|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E24|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E25|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E26|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E27|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E28|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
E29|1|1|42.13513|-89.26665|850 N Colfax St, Byron, IL 61010, United States|850|N Colfax St||Byron|61010|Ogle|IL|USA
F01|1|1|42.13898|-89.26607|8564 Valley View Dr, Byron, IL 61010, United States|8564|Valley View Dr||Byron|61010|Ogle|IL|USA
F02|1|1|42.13849|-89.26407|8524 Byron Hills Ct, Byron, IL 61010, United States|8524|Byron Hills Ct||Byron|61010|Ogle|IL|USA
F03|1|1|42.14084|-89.26443|8605 Byron Hills Dr, Byron, IL 61010, United States|8605|Byron Hills Dr||Byron|61010|Ogle|IL|USA
F04|1|1|42.14286|-89.26441|8649 Byron Hills Dr, Byron, IL 61010, United States|8649|Byron Hills Dr||Byron|61010|Ogle|IL|USA
F05|1|1|42.13897|-89.26772|8540 Valley View Dr, Byron, IL 61010, United States|8540|Valley View Dr||Byron|61010|Ogle|IL|USA
F06|1|1|42.13975|-89.27099|8578 Verde Dr, Byron, IL 61010, United States|8578|Verde Dr||Byron|61010|Ogle|IL|USA
F07|1|1|42.13941|-89.26666|8573 Verde Ct, Byron, IL 61010, United States|8573|Verde Ct||Byron|61010|Ogle|IL|USA
F08|1|1|42.1415|-89.26731|8629 Sunset Ct, Byron, IL 61010, United States|8629|Sunset Ct||Byron|61010|Ogle|IL|USA
F09|1|1|42.14262|-89.2667|8648 Verde Dr, Byron, IL 61010, United States|8648|Verde Dr||Byron|61010|Ogle|IL|USA
F10|1|1|42.14117|-89.26681|8604 Verde Dr, Byron, IL 61010, United States|8604|Verde Dr||Byron|61010|Ogle|IL|USA
F11|1|1|42.1435088|-89.2679951|8697 Sunset Dr, Byron, IL 61010, United States|8697|Sunset Dr||Byron|61010|Ogle|IL|USA
F12|1|1|42.14466|-89.26292|8635 Winnebago Ln, Byron, IL 61010, United States|8635|Winnebago Ln||Byron|61010|Ogle|IL|USA
F13|1|1|42.14478|-89.26292|8689 Winnebago Ln, Byron, IL 61010, United States|8689|Winnebago Ln||Byron|61010|Ogle|IL|USA
F14|1|1|42.1434721|-89.2630451|8495 Winnebago Ln, Byron, IL 61010, United States|8495|Winnebago Ln||Byron|61010|Ogle|IL|USA
F15|1|1|42.14463|-89.26196|8485 Craig Ct, Byron, IL 61010, United States|8485|Craig Ct||Byron|61010|Ogle|IL|USA
F16|1|1|42.1418089|-89.2626067|8468 Winnebago Ln, Byron, IL 61010, United States|8468|Winnebago Ln||Byron|61010|Ogle|IL|USA
F17|1|1|42.1433243|-89.2626363|8459 Wendy Ct, Byron, IL 61010, United States|8459|Wendy Ct||Byron|61010|Ogle|IL|USA
F18|1|1|42.1429|-89.2637|8464 Winnebago Ln, Byron, IL 61010, United States|8464|Winnebago Ln||Byron|61010|Ogle|IL|USA
F19|1|1|42.1442666|-89.2630451|8625 Winnebago Ln, Byron, IL 61010, United States|8625|Winnebago Ln||Byron|61010|Ogle|IL|USA
F20|1|1|42.14153|-89.26211|8438 Winnebago Ln, Byron, IL 61010, United States|8438|Winnebago Ln||Byron|61010|Ogle|IL|USA
F21|1|1|42.14154|-89.26155|8434 Winnebago Ln, Byron, IL 61010, United States|8434|Winnebago Ln||Byron|61010|Ogle|IL|USA
F22|1|1|42.14155|-89.26017|8420 Winnebago Ln, Byron, IL 61010, United States|8420|Winnebago Ln||Byron|61010|Ogle|IL|USA
F23|1|1|42.14156|-89.25943|8416 Winnebago Ln, Byron, IL 61010, United States|8416|Winnebago Ln||Byron|61010|Ogle|IL|USA
F24|1|1|42.1418387|-89.2589196|8412 Winnebago Ln, Byron, IL 61010, United States|8412|Winnebago Ln||Byron|61010|Ogle|IL|USA
F25|1|1|42.14098|-89.26005|3954 E Mockingbird Ln, Byron, IL 61010, United States|3954|E Mockingbird Ln||Byron|61010|Ogle|IL|USA
F26|1|1|42.14096|-89.26167|3866 E Mockingbird Ln, Byron, IL 61010, United States|3866|E Mockingbird Ln||Byron|61010|Ogle|IL|USA
F27|1|1|42.13996|-89.26313|N Finch Ln, Byron, IL 61010, United States||N Finch Ln||Byron|61010|Ogle|IL|USA
F28|1|1|42.1388|-89.26345|3775 E Whippoorwill Ln, Byron, IL 61010, United States|3775|E Whippoorwill Ln||Byron|61010|Ogle|IL|USA
F29|1|1|42.13895|-89.26162|3867 E Whippoorwill Ln, Byron, IL 61010, United States|3867|E Whippoorwill Ln||Byron|61010|Ogle|IL|USA
F30|1|1|42.13896|-89.25999|3955 E Whippoorwill Ln, Byron, IL 61010, United States|3955|E Whippoorwill Ln||Byron|61010|Ogle|IL|USA
F31|1|1|42.14001|-89.25855|8649 N Bluejay Ln, Byron, IL 61010, United States|8649|N Bluejay Ln||Byron|61010|Ogle|IL|USA
F32|1|1|42.14855|-89.27328|9227 N Tower Rd, Byron, IL 61010, United States|9227|N Tower Rd||Byron|61010|Ogle|IL|USA
F33|1|1|42.14834|-89.27434|3095 E Water Rd, Byron, IL 61010, United States|3095|E Water Rd||Byron|61010|Ogle|IL|USA
F34|1|1|42.14761|-89.27433|3142 Everett Ln, Byron, IL 61010, United States|3142|Everett Ln||Byron|61010|Ogle|IL|USA
F35|1|1|42.14645|-89.27453|9088 N Tower Rd, Byron, IL 61010, United States|9088|N Tower Rd||Byron|61010|Ogle|IL|USA
F36|1|1|42.14829|-89.27304|1664 Warrenton Ct, Byron, IL 61010, United States|1664|Warrenton Ct||Byron|61010|Ogle|IL|USA
F37|1|1|42.14857|-89.27109|1669 Brentwood Dr, Byron, IL 61010, United States|1669|Brentwood Dr||Byron|61010|Ogle|IL|USA
F38|1|1|42.14805|-89.27087|1637 Brentwood Dr, Byron, IL 61010, United States|1637|Brentwood Dr||Byron|61010|Ogle|IL|USA
F40|1|1|42.14717|-89.27402|Everett Ln, Byron, IL 61010, United States||Everett Ln||Byron|61010|Ogle|IL|USA
F41|1|1|42.14694|-89.27165|1244 Everett Ln, Byron, IL 61010, United States|1244|Everett Ln||Byron|61010|Ogle|IL|USA
F42|1|1|42.14622|-89.27301|Warrenton Dr, Byron, IL 61010, United States||Warrenton Dr||Byron|61010|Ogle|IL|USA
F43|1|1|42.14623|-89.27341|1548 Warrenton Dr, Byron, IL 61010, United States|1548|Warrenton Dr||Byron|61010|Ogle|IL|USA
F44|1|1|42.14561|-89.27077|1551 Brentwood Dr, Byron, IL 61010, United States|1551|Brentwood Dr||Byron|61010|Ogle|IL|USA
F45|1|1|42.14622|-89.27301|Warrenton Dr, Byron, IL 61010, United States||Warrenton Dr||Byron|61010|Ogle|IL|USA
F47|1|1|42.14608|-89.27452|1535 Joanne Ter, Byron, IL 61010, United States|1535|Joanne Ter||Byron|61010|Ogle|IL|USA
F48|1|1|42.14426|-89.27448|1413 Joanne Ter, Byron, IL 61010, United States|1413|Joanne Ter||Byron|61010|Ogle|IL|USA
F49|1|1|42.14302|-89.27518|Joanne Ter, Byron, IL 61010, United States||Joanne Ter||Byron|61010|Ogle|IL|USA
F50|1|1|42.14224|-89.27529|1335 Joanne Ter, Byron, IL 61010, United States|1335|Joanne Ter||Byron|61010|Ogle|IL|USA
F51|1|1|42.14137|-89.27564|1249 Joanne Ter, Byron, IL 61010, United States|1249|Joanne Ter||Byron|61010|Ogle|IL|USA
F52|1|1|42.14008|-89.27568|1209 Joanne Ter, Byron, IL 61010, United States|1209|Joanne Ter||Byron|61010|Ogle|IL|USA
F53|1|1|42.13892|-89.2762|1402 Marijon Dr, Byron, IL 61010, United States|1402|Marijon Dr||Byron|61010|Ogle|IL|USA
F54|1|1|42.1404|-89.27429|1302 Marijon Dr, Byron, IL 61010, United States|1302|Marijon Dr||Byron|61010|Ogle|IL|USA
F55|1|1|42.13921|-89.27589|Marijon Dr, Byron, IL 61010, United States||Marijon Dr||Byron|61010|Ogle|IL|USA
F56|1|1|42.14037|-89.27734|1227 Glacier Dr, Byron, IL 61010, United States|1227|Glacier Dr||Byron|61010|Ogle|IL|USA
F57|1|1|42.16707|-89.24701|Short Ln, Byron, IL 61010, United States||Short Ln||Byron|61010|Ogle|IL|USA
F58|1|1|42.14217|-89.27736|1321 Glacier Dr, Byron, IL 61010, United States|1321|Glacier Dr||Byron|61010|Ogle|IL|USA
F59|1|1|42.13859|-89.2778|1120 Glacier Dr, Byron, IL 61010, United States|1120|Glacier Dr||Byron|61010|Ogle|IL|USA
F60|1|1|42.14293|-89.27679|1339 Glacier Dr, Byron, IL 61010, United States|1339|Glacier Dr||Byron|61010|Ogle|IL|USA
F61|1|1|42.14327|-89.27628|1351 Glacier Dr, Byron, IL 61010, United States|1351|Glacier Dr||Byron|61010|Ogle|IL|USA
G01|1|1|42.1381241|-89.2654827|3500 E Mill Rd, Byron, IL 61010, United States|3500|E Mill Rd||Byron|61010|Ogle|IL|USA
G02|1|1|42.13784|-89.26824|3499 E Mill Rd, Byron, IL 61010, United States|3499|E Mill Rd||Byron|61010|Ogle|IL|USA
G03|1|1|42.1381149|-89.2683808|3486 E Mill Rd, Byron, IL 61010, United States|3486|E Mill Rd||Byron|61010|Ogle|IL|USA
G04|1|1|42.13637|-89.27017|3361 E Mill Rd, Byron, IL 61010, United States|3361|E Mill Rd||Byron|61010|Ogle|IL|USA
G05|1|1|42.13675|-89.27182|3313 E Mill Rd, Byron, IL 61010, United States|3313|E Mill Rd||Byron|61010|Ogle|IL|USA
G05.5|1|1|42.13702|-89.27299|3271 E Mill Rd, Byron, IL 61010, United States|3271|E Mill Rd||Byron|61010|Ogle|IL|USA
G06|1|1|42.13722|-89.27455|3221 E Mill Rd, Byron, IL 61010, United States|3221|E Mill Rd||Byron|61010|Ogle|IL|USA
G06.5|1|1|42.13757|-89.27605|3159 E Mill Rd, Byron, IL 61010, United States|3159|E Mill Rd||Byron|61010|Ogle|IL|USA
G07|1|1|42.13761|-89.27701|1055 Kingsway Ln, Byron, IL 61010, United States|1055|Kingsway Ln||Byron|61010|Ogle|IL|USA
G08|1|1|42.1369|-89.27699|1032 Kingsway Ln, Byron, IL 61010, United States|1032|Kingsway Ln||Byron|61010|Ogle|IL|USA
G09|1|1|42.13605|-89.27513|853 Belair Dr, Byron, IL 61010, United States|853|Belair Dr||Byron|61010|Ogle|IL|USA
G10|1|1|42.13543|-89.27644|814 Belair Dr, Byron, IL 61010, United States|814|Belair Dr||Byron|61010|Ogle|IL|USA
G11|1|1|42.13454|-89.27704|736 Belair Dr, Byron, IL 61010, United States|736|Belair Dr||Byron|61010|Ogle|IL|USA
G12|1|1|42.13366|-89.27677|701 Belair Dr, Byron, IL 61010, United States|701|Belair Dr||Byron|61010|Ogle|IL|USA
G13|1|1|42.13519|-89.27501|814 Kingsway Ln, Byron, IL 61010, United States|814|Kingsway Ln||Byron|61010|Ogle|IL|USA
G14|1|1|42.13462|-89.27541|1436 Kingsway Ct, Byron, IL 61010, United States|1436|Kingsway Ct||Byron|61010|Ogle|IL|USA
G15|1|1|42.13403|-89.27485|1404 Kingsway Ct, Byron, IL 61010, United States|1404|Kingsway Ct||Byron|61010|Ogle|IL|USA
G16|1|1|42.13366|-89.27537|1411 Southfield Ln, Byron, IL 61010, United States|1411|Southfield Ln||Byron|61010|Ogle|IL|USA
G17|1|1|42.13392|-89.27867|1543 Southfield Ln, Byron, IL 61010, United States|1543|Southfield Ln||Byron|61010|Ogle|IL|USA
G18|1|1|42.13463|-89.27983|1637 Southfield Ln, Byron, IL 61010, United States|1637|Southfield Ln||Byron|61010|Ogle|IL|USA
G19|1|1|42.13424|-89.28137|1802 Southfield Ln, Byron, IL 61010, United States|1802|Southfield Ln||Byron|61010|Ogle|IL|USA
G20|1|1|42.13566|-89.28078|735 Kari Ct, Byron, IL 61010, United States|735|Kari Ct||Byron|61010|Ogle|IL|USA
G25|1|1|42.13548|-89.27945|721 Kristi Dr, Byron, IL 61010, United States|721|Kristi Dr||Byron|61010|Ogle|IL|USA
G26|1|1|42.13612|-89.2799|Kristi Dr, Byron, IL 61010, United States||Kristi Dr||Byron|61010|Ogle|IL|USA
G27|1|1|42.13762|-89.27948|835 Kristi Dr, Byron, IL 61010, United States|835|Kristi Dr||Byron|61010|Ogle|IL|USA
G28|1|1|42.1372|-89.28236|2793 E Mill Rd, Byron, IL 61010, United States|2793|E Mill Rd||Byron|61010|Ogle|IL|USA
G29|1|1|42.13704|-89.2817|1848 Penny Ln, Byron, IL 61010, United States|1848|Penny Ln||Byron|61010|Ogle|IL|USA
G30|1|1|42.13618|-89.28215|741 Oaks Ln, Byron, IL 61010, United States|741|Oaks Ln||Byron|61010|Ogle|IL|USA
G31|1|1|42.13683|-89.27827|802 Hampton Dr, Byron, IL 61010, United States|802|Hampton Dr||Byron|61010|Ogle|IL|USA
G32|1|1|42.13646|-89.27693|1519 Westmont Dr, Byron, IL 61010, United States|1519|Westmont Dr||Byron|61010|Ogle|IL|USA
G33|1|1|42.1354|-89.27704|739 Oxford Dr, Byron, IL 61010, United States|739|Oxford Dr||Byron|61010|Ogle|IL|USA
G34|1|1|42.1338581|-89.2788754|703 Hampton Dr, Byron, IL 61010, United States|703|Hampton Dr||Byron|61010|Ogle|IL|USA
