occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last,notes
Private Residence,11409,S,PREAKNESS,RD,,,,PLAINFIELD,IL,60585,4,419,1 or 2 family dwelling,1,,,,,,,,,,,,,,,,,,,,PRIVATE RESIDENCE,,,
Lynch Accounting (home Bus),11420,S,MARATHON,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,David/susan,Lynch,815-439-7886,,LYNCH ACCOUNTING (HOME BUS),DAVID/SUSAN,LYNCH,
Private Residence,11423,S,GLENBROOK,DR,,,,PLAINFIELD,IL,60585,4,419,1 or 2 family dwelling,1,,,,,,,,,,,,,,,,,,,,PRIVATE RESIDENCE,,,
"Suburban Diagnostic, Inc. (home Busines)",11600,S,LEGACY,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,Glenn,Padilla,815-577-8200,,"SUBURBAN DIAGNOSTIC, INC. (HOME BUSINES)",GLENN,PADILLA,
Auburn/autumn Lakes Park,11701,S,MILLENIUM,PKY,,,,PLAINFIELD,IL,60585,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,AUBURN/AUTUMN LAKES PARK,,,
Burger King (rest #16384),11740,S,RT 59,,,,,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,,7,B,6,U,1,P,06,D,4,H,1,P,1,W,,Heartland Food Corp,630-598-3300,,BURGER KING (REST #16384),,HEARTLAND FOOD CORP,
Pulte Homes Kensington (model Home),11749,S,MILLENIUM,PKY,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,Ed,Kubiak,815-715-1819,,PULTE HOMES KENSINGTON (MODEL HOME),ED,KUBIAK,
Buffalo Wild Wings Grill,11820,S,RT 59,,,,,PLAINFIELD,IL,60585,1,161,Restaurant or cafeteria,1,,7,B,8,U,1,P,31,S,4,H,N,N,,,James,Tettenhorst,630-935-6539,,BUFFALO WILD WINGS GRILL,JAMES,TETTENHORST,
Plainfield Marketplace Multi Unit Bld,11830,S,RT 59,,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,3,P,1,P,5,M,4,H,1,P,1,W,,Vereit Mt Plainfield,602-778-6000,,PLAINFIELD MARKETPLACE MULTI UNIT BLD,,VEREIT MT PLAINFIELD,"Apex Dental:  |Boozle B's: Betty Jensen 630-368-2255|Colorific Hair Color Salon: Nick Lorenzini 217-377-1709|Exquisite Nail Spa: Khang Ha 714-386-2243|Gokul Indian Supermarket:  |Pizza N More Llc, Cici's Pizza: Rohit Jain 630-699-6133|Spirite Halloween Store: Robin Collotta 630-768-7760"
Wheatland United Presbyterian Church,11839,S,HEGGS,RD,,,,PLAINFIELD,IL,60585,1,131,"Church, mosque, synagogue,",1,,2,C,8,U,,,,,,,,,,,Keith,Drinkall,815-436-6468,,WHEATLAND UNITED PRESBYTERIAN CHURCH,KEITH,DRINKALL,
Cvs Pharmacy #5449,11840,S,RT 59,,,,,PLAINFIELD,IL,60585,5,511,Convenience store,1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Mary,Rich,815-462-0718,,CVS PHARMACY #5449,MARY,RICH,
Plainfield Marketplace,11850,S,RT 59,,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,3,P,1,P,4,S,4,H,1,P,1,W,Corey,Bieber,630-699-0124,,PLAINFIELD MARKETPLACE,COREY,BIEBER,Keller Williams: Ryan Companies 630-328-1107|Keller Williams Additional Space: Ryan Companies 612-492-4326|Kumon Center:  |Sherwin Williams: Sherwin Williams Corp. 847-330-9546
Kohl's Department Store #571,11860,S,RT 59,,,,,Plainfield,IL,60544,5,581,Department or discount stor,1,,,,,,,,,,,,,,,,Karen,Kovacevich,708-977-2977,,KOHL'S DEPARTMENT STORE #571,KAREN,KOVACEVICH,
Shell Gas Station Circle K,11900,S,RT 59,,,,,PLAINFIELD,IL,60585,5,571,"Service station, gas statio",1,,7,B,4,U,1,P,1,S,4,H,N,N,,,,Rdk Ventures Llc,812-379-9227,,SHELL GAS STATION CIRCLE K,,RDK VENTURES LLC,Shell Gas Station Additional Space: Dharmesh Rangwala 630-291-8535
Dunkin Donuts,11904,S,RT 59,,,,,PLAINFIELD,IL,60544,1,161,Restaurant or cafeteria,1,,7,B,8,U,1,P,5,M,4,H,1,P,1,W,,,,,DUNKIN DONUTS,,,
Spring Green,11909,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,569,"Professional supplies, serv",1,,6,M,4,U,1,P,1,S,4,H,N,N,,,Gary,Yunker,815-436-3462,,SPRING GREEN,GARY,YUNKER,
Heritage Meadows Retail Building 1,11914,S,RT 59,,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Ralph,Odonnell,708-442-1957,,HERITAGE MEADOWS RETAIL BUILDING 1,RALPH,ODONNELL,"4 Sight Icare: Mark Burke 773-425-0732|Baird & Warner:  |Baird & Warner Additional Space:  |Barre 3:  |Barre 3:  |Buffed Nail Spa: David Hoang 312-330-6612|Duplicate Westside Children's Therapy:  |Eco Gym:  |Elite Tutoring Place:  |Freedom Brothers Pizza: Heritage Meadows Llc 720-529-2875|Hertz Rent A Car:  |Sally Beauty Supply, Cosmo Pro: Sally Beauty Holdings 940-898-7500|Versed Salon: Loren Brenczewski 815-263-5731|Yen Ching Chinese Restaurant:  "
Ed Sterling Multi-tenant Building,11922,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,5,M,4,H,1,P,3,O,,,,,ED STERLING MULTI-TENANT BUILDING,,,
Midwest Stone Workshop,11926,S,AERO,DR,,,,PLAINFIELD,IL,60585,5,579,Motor vehicle or boat sales,2,,6,M,4,U,N,N,,,,,N,N,,,Bob,Tyrell,630-947-4864,,MIDWEST STONE WORKSHOP,BOB,TYRELL,
Spring Green Admin,11927,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,569,"Professional supplies, serv",1,,2,C,6,U,1,P,1,S,4,H,N,N,,,Mark,Geary,815-230-2217,,SPRING GREEN admin,MARK,GEARY,
Multi-tenant Building,11932,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,,,,,MULTI-TENANT BUILDING,,,Shreve Services:  |Vacant:  |Vacant:  
Spring Green,11939,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,0,R,4,U,N,N,,,,,N,N,,,Gary,Yunker,815-436-3462,,SPRING GREEN,GARY,YUNKER,
"Doors By Russ, Inc.",11941,S,AERO,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,0,R,8,U,N,N,,,,,N,N,,,Russ,Horeni,630-554-3627,,"DOORS BY RUSS, INC.",RUSS,HORENI,
"K& R Landscaping, Inc.",11952,S,SPAULDING SCHOOL,DR,,,SUITE A,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,6,M,8,U,N,N,,,,,N,N,,,Ryan,Manning,815-693-9654,,"K& R LANDSCAPING, INC.",RYAN,MANNING,
Kenney Outdoor Solutions,11952,S,SPAULDING SCHOOL,DR,,,SUITE B,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,6,M,8,U,N,N,,,,,N,N,,,Paul,Allen,815-577-7114,,KENNEY OUTDOOR SOLUTIONS,PAUL,ALLEN,
Multi-tenant Building,11953,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,N,N,,,,,N,N,,,Frank,Kuehner,847-878-9231,,MULTI-TENANT BUILDING,FRANK,KUEHNER,Pet Butler:  |Quality Carpet Cleaning: Anthony Woitovich 630-514-3201|Spring Green:  |Spring Green Irrigation: Russell Coblentz 630-357-7062
Five Star Tennis,11959,S,NORMANTOWN,RD,,,,PLAINFIELD,IL,60585,1,141,Athletic/health club,1,,6,M,4,U,1,P,4,S,4,H,2,P,1,W,Dan,Brown,630-430-9187,,FIVE STAR TENNIS,DAN,BROWN,
Multi - Tenant Building,11965,s,AERO,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,6,M,4,U,N,N,,,,,N,N,,,,,,,,,,Fluid Motor Union: O.j. Lopez 630-913-9604|Fluid Motor Union Additional Space: Rodney Kaminskas 815-530-2882|Jim Wagner Plumbing: Jim Wagner 630-885-4316
Private Residence,11970,S,WINTERBERRY,LN,,,,PLAINFIELD,IL,60585,4,419,1 or 2 family dwelling,1,,,,,,,,,,,,,,,,,,,,PRIVATE RESIDENCE,,,
Heritage Meadows Retail Building 2,12004,S,RT 59,,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Ralph,Odonnell,630-546-4463,,HERITAGE MEADOWS RETAIL BUILDING 2,RALPH,ODONNELL,Dupage Medical Group: Dupage Medical Group 630-469-9200|Dupage Medical Group Clinic:  
Mack Pump,12005,S,SPAULDING SCHOOL,DR,,"11965, 12005 & 12007 S. SPAULDING SCHOOL",,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,1,S,4,H,N,N,,,Lawrence,Taverna,630-983-0303,,MACK PUMP,LAWRENCE,TAVERNA,
Design & Processing Resources,12009,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,DESIGN & PROCESSING RESOURCES,,,
Multi-tenant Building,12010,S,AERO,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,Howard,Steffes,630-303-6598,,MULTI-TENANT BUILDING,HOWARD,STEFFES,"Basic Irrigation Services, Inc.: Donn Kaiser 630-878-8738|Vacant Allied Concrete Repair: Elizabeth Sampson 630-768-4708|Vacant Harner Millwork: Heather Harner 630-732-5876"
Multi-tenant Bldg,12023,S,AERO,DR,,,,PLAINFIELD,IL,60585,8,891,Warehouse,1,,6,M,4,U,N,N,,,,,N,N,,,Robert,Roess,630-362-1686,,MULTI-TENANT BLDG,ROBERT,ROESS,
Multi-tenant Building,12024,S,AERO,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,,,,,MULTI-TENANT BUILDING,,,"Best Of Roofing:  |Best Technology Systems, Inc: Gary Chinn 630-391-1510|Buff & Coat Hardwood Floor Renewal: Ray Horan 630-618-8627|Halford Construction: Ryan Halford 630-750-0300|Paper Benders Supply, Inc.: Randy Riley 630-205-8455|Rainmakers Irrigation & Maintenance Co.: Raymond Carlini 815-609-9015"
Jmj Auto Works,12032,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,,,,,N,N,,,,,N,N,,,Gary,Maciejewski,630-904-4226,,JMJ AUTO WORKS,GARY,MACIEJEWSKI,
"Tri Angle Environmental, Inc.",12033,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,6,M,4,U,1,P,31,S,4,H,N,N,,,Gary,Maciejewski,815-791-4242,,"TRI ANGLE ENVIRONMENTAL, INC.",GARY,MACIEJEWSKI,
White Ash Farms (model Home),12035,S,NORMANTOWN,RD,,,,PLAINFIELD,IL,60585,6,655,Crops or orchard,,,,,,,,,,,,,,,,,,,,,WHITE ASH FARMS (MODEL HOME),,,
Jmj Auto Body & Detailing,12036,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,5,579,Motor vehicle or boat sales,1,,6,M,4,U,,,,,,,,,,,Jose,Jasso,773-759-4067,,JMJ AUTO BODY & DETAILING,JOSE,JASSO,
Jim's Truck Inspection,12037,S,AERO,DR,,,,PLAINFIELD,IL,60585,5,579,Motor vehicle or boat sales,1,,6,M,8,U,,,,,,,,,,,James,Gribble,630-253-1732,,JIM'S TRUCK INSPECTION,JAMES,GRIBBLE,
Multi-tenant Bldg - J & B Plainfield,12040,S,AERO,DR,,,,Plainfield,IL,60585,5,599,Business office,1,1,2,C,8,U,N,N,,,,,N,N,,,Barb,Hyrczyk,847-965-0483,,MULTI-TENANT BLDG - J & B PLAINFIELD,BARB,HYRCZYK,J Smith Trucking Company: Jeff Smith 815-791-6581|Marglo Industrial Supply: Maria Gloeckle 630-546-9933|Midwest Model Supply: Brian Van Gelder 630-963-6549|Mobile Marine Inc.: Guy Terbush 815-530-1259|Storage Units:  |Top Notch Remodeling: Chris Bajorek 630-362-8558
Heritage Green Park,12101,S,HERITAGE MEADOWS,DR,,,,PLAINFIELD,IL,60585,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,HERITAGE GREEN PARK,,,
Multi-tenant Bldg / Wolf Creek Storage,12105,S,SPAULDING SCHOOL,DR,,,,PLAINFIELD,IL,60585,8,800,"Storage, Other",1,,6,M,4,U,N,N,,,,,N,N,,,Phillip,Witunski,708-217-7447,,MULTI-TENANT BLDG / WOLF CREEK STORAGE,PHILLIP,WITUNSKI,"A.e. Products: Chris Ramos 815-439-8901|Auto Shop Naperville - Plainfield: John Reigh 815-545-5388|El Tanque: Gerardo Villareal 708-935-8844|Gamos Landscaping Corp.: Juan Moreno 630-854-4951|Hively Landscaping: Matt Hively 630-675-4511|Maico Sanchez Auto Repair: Maico Sanchez 708-913-3726|Personal Storage, Joe Marocco:  |Plainfield Concrete: Peter Szewczyk 630-631-2977|Vacant (former Hot Rod Heaven): Bill Martin 630-779-2554"
Auto Body By Daniel's,12121,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,579,Motor vehicle or boat sales,2,,0,R,6,U,1,P,5,M,4,H,1,P,1,W,Daniel/lynette,Stalzer,815-254-2209,,AUTO BODY BY DANIEL'S,DANIEL/LYNETTE,STALZER,
Multi Tenant Building,12137,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,N,N,,,,,N,N,,,,,,,MULTI TENANT BUILDING,,,"Air 1 Wireless:  |Elite Auto Center, Inc.: Luis Polo 630-336-2007|Monkey Mega Stores: Eric Carver 630-531-0117|The Cleaning Authority:  "
"Ams Seals, Inc.",12149,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,7,B,4,U,1,P,31,S,4,H,N,N,,,Adam,Spiess,630-440-9987,,"AMS SEALS, INC.",ADAM,SPIESS,
Normantown Trails Equestrian Center,12151,S,NORMANTOWN,RD,,,UNIT 103,PLAINFIELD,IL,60585,5,599,Business office,2,,6,M,8,U,N,N,,,,,,,,,,Plainfield Park Dist,815-436-8812,,NORMANTOWN TRAILS EQUESTRIAN CENTER,,PLAINFIELD PARK DIST,Normantown Trails Large Arena:  |Park - White Ash:  
"Will Co Green, Llc",12152,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60585,5,599,Business office,2,,2,C,8,U,1,P,1,S,4,H,N,N,,,Edward,Heil,815-436-7465,,"WILL CO GREEN, LLC",EDWARD,HEIL,
Multi - Tenant Bldg.,12191,S,RHEA,DR,,"12191, 12201, 12207, 12209, 12211 RHEA",,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,1,S,4,H,N,N,,,,Alarm Detection Systems,630-844-6302,,MULTI - TENANT BLDG.,,Alarm Detection Systems,Cavo Broadband: Prince Telecom 302-324-1800
Kitchen Tune-up (home Business),122,S,POPPY,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,Robert/mariann,Cozzi,815-254-3300,,KITCHEN TUNE-UP (HOME BUSINESS),ROBERT/MARIANN,COZZI,
Precision Metal Crafts,12201,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,1,S,4,H,N,N,,,,Alarm Detection Systems,630-844-6302,,PRECISION METAL CRAFTS,,ALARM DETECTION SYSTEMS,
I Concepts Optical,12207,S,RHEA,DR,,,,PLAINFIELD,IL,60585,8,891,Warehouse,1,,7,B,4,U,1,P,1,S,4,H,N,N,,,J.b.,Conrey,630-602-1237,,I CONCEPTS OPTICAL,J.B.,CONREY,
I Concepts Optical Additional Space,12209,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,I CONCEPTS OPTICAL ADDITIONAL SPACE,,,
I Concepts Optical Additional Space,12211,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,,,,,I CONCEPTS OPTICAL ADDITIONAL SPACE,,,
Pasquinelli Inc. (model Home),12216,S,HERITAGE MEADOWS,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,George,  Darrus,815-436-5139,,PASQUINELLI INC. (MODEL HOME),GEORGE,  DARRUS,
Multi-tenant Building,12249,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,,,,,,,,,,,,,,,Lori,Kure,630-306-7000,,MULTI-TENANT BUILDING,LORI,KURE,"Aspire Ventures & Seattle Suttons: Sherman Neal 630-803-1427|B.p. Cabinetry: Bernard Pacanowski 630-308-5251|Bluetek Blue Printing, Inc.: Peter Majcherek 630-673-0152|David's Personal Training: David Vidican 815-405-2557|Dee V's Wax Studio: Darcy Vanzijl 815-526-2333|Dunwell Home Inspection: Joel Dunwell 630-201-7353|Fresh Concept Enterprises, Inc.: Deborah Fagel 630-502-0101|Luz Enterprises Inc.: Michael Luz 630-863-5608"
Northstar Credit Union,12251,S,RT 59,,,,,PLAINFIELD,IL,60585,5,592,Bank,1,,0,R,6,U,1,P,1,S,4,H,1,P,1,W,,Oak Trust Credit Uniton,800-232-6728,,NORTHSTAR CREDIT UNION,,OAK TRUST CREDIT UNITON,
Enbridge Pipelines (lakehead) Llc,12259,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60585,9,983,"Pipeline, power line or oth",1,,2,C,8,U,N,N,,,,,N,N,,,,,,,ENBRIDGE PIPELINES (LAKEHEAD) LLC,,,
Normantown Road Maintenance Shop,12263,S,NORMANTOWN,RD,,,,PLAINFIELD,IL,60585,8,808,Outbuilding or shed,1,,6,M,8,U,N,N,,,,,N,N,,,,Plainfield Park Dist.,815-436-8812,,NORMANTOWN ROAD MAINTENANCE SHOP,,PLAINFIELD PARK DIST.,
Heritage Meadows Park,12301,W,PEAR TREE,WAY,,,,PLAINFIELD,IL,60585,9,900,Outside or special property,1,,,,,,,,,,,,,,,,,,,,HERITAGE MEADOWS PARK,,,
Binny's Beverage Depot,12307,S,RT 59,,,,,PLAINFIELD,IL,60585,5,519,"Food and beverage sales, gr",1,,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Binny's Bev,Gold Standard Ent.,847-581-3100,,BINNY'S BEVERAGE DEPOT,BINNY'S BEV,GOLD STANDARD ENT.,
Xtreme Speed,12311,S,INDUSTRIAL,DR,E,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,7,B,4,U,1,P,1,S,4,H,N,N,,,Lisa,Kasper,630-416-4231,,XTREME SPEED,LISA,KASPER,
Goldfish Hq,12315,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,599,Business office,1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,GOLDFISH HQ,,,Goldfish Swim School: Ed Reilly 847-417-9882|Goldfish Swim School Office: Larry Geldermann 312-839-5271
"Windfall Plaza Plainfield, Llc",12337,S,RT 59,,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Eddie,Ni,330-352-7788,,"WINDFALL PLAZA PLAINFIELD, LLC",EDDIE,NI,A Thin Line Tattoo:  |Color Me Bronze Tanning Spa: Larry Howard 815-341-6815|Delicia Mexican Grill:  |Enterprise Rent A Car:  708-233-9100|Full Life Martial Arts: Estela Streacker 630-946-4446|Land Of Vapes:  |Mpg Fitness: Sue Miller 630-476-0533|Mpg Fitness Additional Space: Diane Vassolo 630-767-9667|Mpg Fitness Additional Space: Andy Myers 630-747-4882|Nevin's Brewing Company: D & I Electronics 815-436-6003|P.r.o. Rehab & Sports Chiropractic:  |P.r.o. Rehab & Sports Chiropractic Extra: Randy Cybulski 630-999-0719|Savino's Beef & Gyros: Hasan Jumah 708-691-2174|Smile Care Dental Associates: Dilip Patel 630-300-4144|Springleaf Financial: Rebecca Margarites 630-991-0678|Tha Green Screen:  |Twist Yoga Lounge: Theresa Wilson 331-330-5099|Vacant:  |Vacant (flirty Kitty): Wendy Coe 847-774-0909|Vacant (former Vita Bella Pizza): Rafael Moreno 815-671-6711|White Fence Farm: Laura Hastert 630-803-7395|Zen Salon & Spa: Joann Vojslavek 815-496-6638
"Olde Towne Floors, Inc.",12344,S,INDUSTRIAL,DR,E,,,PLAINFIELD,IL,60585,5,569,"Professional supplies, serv",1,,7,B,4,U,U,U,,,,,U,U,,,,,815-362-9008,,"OLDE TOWNE FLOORS, INC.",,,
John F. Kennedy Middle School,12350,S,ESSINGTON,RD,,,,PLAINFIELD,IL,60585,2,215,High school/junior high sch,2,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,Plainfield School Dist.,815-577-4000,,JOHN F. KENNEDY MIDDLE SCHOOL,,PLAINFIELD SCHOOL DIST.,
Amspec Services,12351,S,INDUSTRIAL,DR,E,,,PLAINFIELD,IL,60585,5,593,Office:  veterinary or rese,2,,7,B,4,U,1,P,31,S,4,H,N,N,,,Melanie,Mcmahon,779-279-7244,,AMSPEC SERVICES,MELANIE,MCMAHON,Amspec Services Additional Space:  
Multi-tenant Building,12357,S,RHEA,DR,,12357-12359-12361-12363-12365 RHEA DRIVE,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,31,S,4,H,N,N,,,Chang,Zeng,630-428-3682,,MULTI-TENANT BUILDING,CHANG,ZENG,International Central Gospel Church: Chang Zeng 630-428-3682
Rms International Additional Space,12359,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,549,Specialty shop,1,,7,B,4,U,1,P,31,S,4,H,N,N,,,Michael,Ivanauskas,815-498-4601,,RMS INTERNATIONAL ADDITIONAL SPACE,MICHAEL,IVANAUSKAS,
Rms International Additional Space.,12363,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,569,"Professional supplies, serv",1,,7,B,4,U,1,P,31,S,4,H,N,N,,,Bob,Tyrell,630-947-4864,,RMS INTERNATIONAL ADDITIONAL SPACE.,BOB,TYRELL,
Rms International Additional Space,12365,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,,7,B,4,U,1,P,31,S,4,H,N,N,,,Ron,Muscato,815-782-4224,,RMS INTERNATIONAL ADDITIONAL SPACE,RON,MUSCATO,
Rms International,12365-12,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,7,B,4,U,1,P,31,S,4,H,N,N,,,,,,,RMS INTERNATIONAL,,,
Precision Midwest,12360,S,INDUSTRIAL,DR,E,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,6,M,4,U,1,P,31,S,4,H,N,N,,,,,,,PRECISION MIDWEST,,,
