occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last
A.k. Delivery (home Business),23129,W,JUDITH,CT,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Arunas,Kucinskas,815-212-1422,,A.K. DELIVERY (HOME BUSINESS),ARUNAS,KUCINSKAS
Absolute Health Additional Space,16310,S,LINCOLN,HWY,,,UNIT 120,PLAINFIELD,IL,60586,5,549,Specialty shop,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Melissa,Koren,815-467-1509,,ABSOLUTE HEALTH ADDITIONAL SPACE,MELISSA,KOREN
Absolute Wellness Center,16310,S,LINCOLN,HWY,,,UNITS 124-128,PLAINFIELD,IL,60586,3,342,"Doctor, dentist or oral sur",1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Michael,Bozzone,331-454-6435,,ABSOLUTE WELLNESS CENTER,MICHAEL,BOZZONE
Absolute Wellness Center Extra Space,16310,S,LINCOLN,HWY,,,UNIT 128,PLAINFIELD,IL,60586,5,557,"Personal service, including",1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Maria,Juarez,815-577-0586,,ABSOLUTE WELLNESS CENTER EXTRA SPACE,MARIA,JUAREZ
"Abw Auctions, Llc",13717,S,RT 30,,,,UNIT 143,PLAINFIELD,IL,60544,1,141,Athletic/health club,1,0,7,B,4,U,1,P,31,S,4,H,N,N,,,,,,,"ABW AUCTIONS, LLC",,
Accelerated Rehabilitation Centers,24012,W,RENWICK,RD,,,SUITE 100,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",2,0,0,R,6,U,1,P,5,M,4,H,1,P,1,W,Jonathan,Bender,331-645-6480,,ACCELERATED REHABILITATION CENTERS,JONATHAN,BENDER
Accelerated Rehabilitation Centers,24014,W,RENWICK,RD,,,SUITES 206-208,PLAINFIELD,IL,60544,5,599,Business office,2,0,2,C,4,U,1,P,5,M,4,H,1,P,12,W,,Accelerated Rehab Center,312-640-0329,,ACCELERATED REHABILITATION CENTERS,,ACCELERATED REHAB CENTER
Accurate Accounting,14710,S,NAPERVILLE,RD,,,UNIT 100,Plainfield,IL,60544,5,599,Business office,1,0,2,C,6,U,1,P,5,M,4,H,N,N,,,,,,,ACCURATE ACCOUNTING,,
Ace Oral And Maxillofacial Surgery,13246,S,RT 59,,,,104 BLDG A,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",2,1,2,C,6,U,1,P,5,M,4,H,1,P,12,W,James,Morrone,630-209-6201,,ACE ORAL AND MAXILLOFACIAL SURGERY,JAMES,MORRONE
Acres Group,23940,W,ANDREW,RD,,,,Plainfield,IL,60585,5,569,"Professional supplies, serv",1,0,6,M,4,U,1,P,3,C,4,H,N,N,,,James,Schwantz,847-878-6971,,ACRES GROUP,JAMES,SCHWANTZ
Action Pm & R (annexed To Naperville),10334,S,RT 59,,,,,NAPERVILLE,IL,60564,3,342,"Doctor, dentist or oral sur",0,0,,,,,,,,,,,,,,,John,Mikuzi,630-904-5640,,ACTION PM & R (ANNEXED TO NAPERVILLE),JOHN,MIKUZI
Action Rehab Services (annexed To Naper),10334,S,RT 59,,,,B,NAPERVILLE,IL,60564,3,300,"Health care, detention, & c",1,0,,,,,,,,,,,,,,,Donna,Tordai,815-263-0499,,ACTION REHAB SERVICES (ANNEXED TO NAPER),DONNA,TORDAI
"Ad Deluxe Sign Company, Inc. - Bldg Ownr",23856,W,ANDREW,RD,,,UNIT 103,PLAINFIELD,IL,60585,7,700,"Manufacturing, processing",1,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Ahmet,Demir,262-969-6358,,"AD DELUXE SIGN COMPANY, INC. - BLDG OWNR",AHMET,DEMIR
Advance Microblading,13530,S,RT 59,,,,UNIT 118,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Khoi,Dang,815-768-5784,,ADVANCE MICROBLADING,KHOI,DANG
Advance Molding Concepts,24322,W,143RD,ST,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,0,7,B,6,U,1,P,31,S,2,H,N,N,,,Walt,Schneiter,815-272-5978,,ADVANCE MOLDING CONCEPTS,WALT,SCHNEITER
Advanced Auto Parts,15935,S,RT 59,,,,,PLAINFIELD,IL,60586,5,549,Specialty shop,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Robert,Mroczek,815-212-0043,,ADVANCED AUTO PARTS,ROBERT,MROCZEK
Advanced Counseling Dr. Joan Wise,15409,S,RT 59,,,,,Plainfield,IL,60544,5,599,Business office,1,1,7,B,4,U,N,N,,,,,N,N,,,,,,,ADVANCED COUNSELING DR. JOAN WISE,,
Advanced Family Eyecare,24510,W,LOCKPORT,ST,,,SUITE 100,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,7,B,6,U,1,P,5,M,4,H,1,P,1,W,James,Tuel,815-245-9958,,ADVANCED FAMILY EYECARE,JAMES,TUEL
Advanced Integrative Med & Ivory Dental,12624,S,RT 59,,,,UNIT 1,PLAINFIELD,IL,60585,3,342,"Doctor, dentist or oral sur",1,0,0,R,6,U,1,P,5,M,4,H,N,N,,,Shefali,Patel,312-933-1252,,ADVANCED INTEGRATIVE MED & IVORY DENTAL,SHEFALI,PATEL
Advanced Physicians Sc,13246,S,RT 59,,,,106 BLDG A,PLAINFIELD,IL,60585,3,342,"Doctor, dentist or oral sur",2,1,2,C,6,U,1,P,5,M,4,H,1,P,12,W,Dana,Carter,630-789-3338,,ADVANCED PHYSICIANS SC,DANA,CARTER
Advanced Turf Solutions,24317,W,143RD,ST,,,UNIT 103,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Karen,Lawson,815-791-8923,,ADVANCED TURF SOLUTIONS,KAREN,LAWSON
Advantage Driver Training,18126,S,FRONTAGE,RD,W,,UNIT A,SHOREWOOD,IL,60404,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Cathy,Baumgartner,815-274-5278,,ADVANTAGE DRIVER TRAINING,CATHY,BAUMGARTNER
Advocate Medical Group,24508,W,VILLAGE CENTER,DR,,,,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,0,0,R,0,U,1,P,5,M,4,H,1,P,1,W,Mark,Sotelo,630-362-0594,,ADVOCATE MEDICAL GROUP,MARK,SOTELO
Aero Auto Body,12011,S,AERO,DR,,,UNIT A,Plainfield,IL,60585,5,579,Motor vehicle or boat sales,1,0,6,M,4,U,N,N,,,,,N,N,,,Michael,Ventresca,630-209-7733,,AERO AUTO BODY,MICHAEL,VENTRESCA
"Aerotek Design Labs, Llc",24119,W,RIVERWALK,CT,,,UNIT 147,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Greg,Chapman,815-405-7698,,"AEROTEK DESIGN LABS, LLC",GREG,CHAPMAN
Agor Behavioral Health,24402,W,LOCKPORT,ST,,,SUITE 224,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",2,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,AGOR BEHAVIORAL HEALTH,,
Ahoyt Dental Additional Space,13717,S,RT 30,,,,UNIT 159,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,4,U,1,P,5,M,4,H,N,N,,,Aimee,Micetic,815-230-3662,,AHOYT DENTAL ADDITIONAL SPACE,AIMEE,MICETIC
Ahoyt Family Dental,13717,S,RT 30,,,,UNITS 129-133,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Justin,Ahoyt,815-577-9174,,AHOYT FAMILY DENTAL,JUSTIN,AHOYT
Air 1 Wireless,12137,S,RHEA,DR,,,UNIT C,PLAINFIELD,IL,60585,5,599,Business office,1,0,7,B,4,U,N,N,,,,,N,N,,,,,,,AIR 1 WIRELESS,,
"Air Intermodal, Inc.",24047,W,LOCKPORT,ST,,,SUITE 209,PLAINFIELD,IL,60544,5,599,Business office,2,1,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,"AIR INTERMODAL, INC.",,
Air Temperature Control (home Business),24337,W,PEAR TREE,WAY,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Georgia,Dimas,630-802-0828,,AIR TEMPERATURE CONTROL (HOME BUSINESS),GEORGIA,DIMAS
Al Aqsa Community Center,17940,S,BRONK,RD,,,,PLAINFIELD,IL,60586,8,800,"Storage, Other",1,0,6,M,8,U,N,N,,,,,N,N,,,Zulfie,Khan,815-230-0786,,AL AQSA COMMUNITY CENTER,ZULFIE,KHAN
Aldi Inc. #21,13550,S,RT 59,,,,,PLAINFIELD,IL,60544,5,519,"Food and beverage sales, gr",1,0,7,B,4,U,1,P,31,S,4,H,1,P,1,W,,Aldi Foods Inc.,815-941-6020,,ALDI INC. #21,,ALDI FOODS INC.
All Cleaners,13400,S,RT 59,,,,UNIT 108,PLAINFIELD,IL,60585,5,564,"Laundry, dry cleaning",1,0,6,M,4,U,1,P,31,S,4,H,1,P,1,W,Amy,Lee,630-915-1292,,ALL CLEANERS,AMY,LEE
All Service Limo,23900,W,INDUSTRIAL,DR,S,,UNIT 3,PLAINFIELD,IL,60585,1,131,"Church, mosque, synagogue,",2,0,6,M,4,U,1,P,3,C,4,H,,,,,Douglas,Nabor,847-438-3035,,ALL SERVICE LIMO,DOUGLAS,NABOR
All Star Embroidery (home Business),25046,S,MICHELE,DR,,,,Plainfield,IL,60544,5,580,"General retail, Other",0,0,,,,,,,,,,,,,,,,,,,ALL STAR EMBROIDERY (HOME BUSINESS),,
All Trade Construction,2413,S,VON ESCH,RD,,,UNIT B,PLAINFIELD,IL,60586,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Margaret,Gehr,815-530-3566,,ALL TRADE CONSTRUCTION,MARGARET,GEHR
Alllstate Greg Milton,13717,S,RT 30,,,,UNIT 121,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,11,S,4,H,N,N,,,Karen,Ley,630-248-4088,,AlLLSTATE GREG MILTON,KAREN,LEY
Allstate,10334,S,RT 59,,,,,NAPERVILLE,IL,60564,5,569,"Professional supplies, serv",1,0,,,,,,,,,,,,,,,,,,,ALLSTATE,,
Allstate,13400,S,RT 59,,,,UNIT 100,PLAINFIELD,IL,60585,5,599,Business office,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Rey,Rojas,630-728-5001,,ALLSTATE,REY,ROJAS
Allstate Insurance Company,23917,W,ROBERTS,AVE,,,SUITE B,PLAINFIELD,IL,60544,5,599,Business office,2,1,2,C,8,U,1,P,1,S,4,H,N,N,,,Jonathan,Hannah,815-272-1670,,ALLSTATE INSURANCE COMPANY,JONATHAN,HANNAH
Allstate Office,16108,S,RT 59,,,,UNIT 118,PLAINFIELD,IL,60586,5,599,Business office,1,1,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,ALLSTATE OFFICE,,
"Allways Precision, Inc.",14001,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,0,7,B,4,U,1,P,2,H,4,H,N,N,,,Romas,Juodualkis,815-436-9977,,"ALLWAYS PRECISION, INC.",ROMAS,JUODUALKIS
Alpine Irrigation Company,24501,W,RENWICK,RD,,,,PLAINFIELD,IL,60544,8,808,Outbuilding or shed,1,0,6,M,8,U,N,N,,,,,N,N,,,Robert,Zeh,815-436-9012,,ALPINE IRRIGATION COMPANY,ROBERT,ZEH
Alpine Stained Glass,16151,S,LINCOLN,HWY,,,,PLAINFIELD,IL,60586,5,549,Specialty shop,1,0,,,,,,,,,,,,,,,Carol,Vantilburg,815-436-6004,,ALPINE STAINED GLASS,CAROL,VANTILBURG
Amafha,23915,,AERO,CT,,,UNIT 6,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Deen,Cutlerywala,630-532-4599,,AMAFHA,DEEN,CUTLERYWALA
American Built Systems,13815,S,RT 30,,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Robert,Sohol,630-514-1001,,AMERICAN BUILT SYSTEMS,ROBERT,SOHOL
American Family Insurance,15515,S,RT 59,,,,UNIT 103,Plainfield,IL,60544,1,161,Restaurant or cafeteria,1,0,7,B,5,P,N,N,,,,,N,N,,,,,,,AMERICAN FAMILY INSURANCE,,
American Family Insurance Add'l Space,15515,S,RT 59,,,,UNIT 105,PLAINFIELD,IL,60544,1,160,"Eating, drinking places, ot",1,0,7,B,5,P,N,N,,,,,N,N,,,Anthony,Affetto,815-436-3335,,AMERICAN FAMILY INSURANCE ADD'L SPACE,ANTHONY,AFFETTO
American Lawn & Landscape Company,23856,W,ANDREW,RD,,,SUITE 101,Plainfield,IL,60585,7,700,"Manufacturing, processing",1,0,7,B,6,U,1,P,31,S,4,H,N,N,,,Ahmet,Demir,773-447-6298,,AMERICAN LAWN & LANDSCAPE COMPANY,AHMET,DEMIR
American Legion Marne Post 13,24741,W,RENWICK,RD,,,,PLAINFIELD,IL,60544,1,160,"Eating, drinking places, ot",1,0,0,R,0,U,1,P,31,S,4,H,N,N,,,Jim,Smith,815-618-3692,,AMERICAN LEGION MARNE POST 13,JIM,SMITH
Amerigas,25224,W,RT 30,,,,,Plainfield,IL,60585,6,644,"Gas distribution, gas pipel",1,0,0,R,4,U,N,N,,,,,N,N,,,Jack,Malec,815-370-4769,,AMERIGAS,JACK,MALEC
Ameriprise Financial,24402,W,LOCKPORT,ST,,,SUITE 221,PLAINFIELD,IL,60544,5,599,Business office,2,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,AMERIPRISE FINANCIAL,,
Amish Touch Cabinetry,12407,S,RHEA,DR,,,UNIT 102,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,6,M,4,U,,,,,,,,,,,Darin,Johnson,815-530-4623,,AMISH TOUCH CABINETRY,DARIN,JOHNSON
Amita Health Medical Imaging Plainfield,16615,S,RT 59,,,,,PLAINFIELD,IL,60586,3,340,"Clinics, doctors offices, h",1,0,7,B,3,P,1,P,5,M,4,H,1,P,1,W,,Leased Presence Health,815-609-6420,,AMITA HEALTH MEDICAL IMAGING PLAINFIELD,,LEASED PRESENCE HEALTH
Amita Plainfield Imaging & Outpatient,15720,S,RT 59,,,,,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,0,0,R,0,U,1,P,1,S,4,H,N,N,,,Bruce,Corwin,815-546-4990,,AMITA PLAINFIELD IMAGING & OUTPATIENT,BRUCE,CORWIN
"Ams Seals, Inc.",12149,S,RHEA,DR,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Adam,Spiess,630-440-9987,,"AMS SEALS, INC.",ADAM,SPIESS
Amspec Services,12351,S,INDUSTRIAL,DR,E,,,PLAINFIELD,IL,60585,5,593,Office:  veterinary or rese,2,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Melanie,Mcmahon,779-279-7244,,AMSPEC SERVICES,MELANIE,MCMAHON
Amspec Services Additional Space,12351,S,INDUSTRIAL,DR,E,,,PLAINFIELD,IL,60585,7,700,"Manufacturing, processing",2,0,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,AMSPEC SERVICES ADDITIONAL SPACE,,
Andcar Realty (home Business),     504,W,COMMERCIAL,ST,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",0,0,,,,,,,,,,,,,,,Donald,Anderson,815-436-7120,,ANDCAR REALTY (HOME BUSINESS),DONALD,ANDERSON
Anderson Tree Farm,508,W,RT 126,,,,,PLAINFIELD,IL,60544,5,549,Specialty shop,1,0,6,M,8,U,N,N,,,,,N,N,,,,,,,ANDERSON TREE FARM,,
Andreasen Travel,24103,W,LOCKPORT,ST,,,UNIT 101,PLAINFIELD,IL,60544,5,599,Business office,1,0,1,T,8,U,N,N,,,,,N,N,,,Patricia,Andreasen,815-436-9406,,ANDREASEN TRAVEL,PATRICIA,ANDREASEN
"Anew Dental & Orthodontics, Llc",13242,S,RT 59,,,,106  BLDG B,PLAINFIELD,IL,60585,5,599,Business office,3,0,2,C,5,P,,,,,,,,,,,Joe,Rubis,815-483-1704,,"ANEW DENTAL & ORTHODONTICS, LLC",JOE,RUBIS
Anew Dental Office Space,13242,S,RT 59,,,,110 BLDG B,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",3,0,2,C,5,P,U,U,,,,,N,N,,,,,,,ANEW DENTAL OFFICE SPACE,,
Animal Care Center,14411,S,RT 59,,,,,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",2,0,2,C,5,P,,,,,,,,,,,Anthony,Kremer,815-405-1300,,ANIMAL CARE CENTER,ANTHONY,KREMER
Annabell's Bar-b-q (home Business),24032,W,MAIN,ST,,,,PLAINFIELD,IL,60544,5,519,"Food and beverage sales, gr",0,0,,,,,,,,,,,,,,,James,Lawrence,815-436-2936,,ANNABELL'S BAR-B-Q (HOME BUSINESS),JAMES,LAWRENCE
Ants Inc. (home Bus),102,S,UNION,CT,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Robert,"Szczesniak, Jr.",815-577-9907,,ANTS INC. (HOME BUS),ROBERT,"SZCZESNIAK, JR."
Anytime Fitness,23859,W,135TH,ST,,,UNIT 105,PLAINFIELD,IL,60544,1,141,Athletic/health club,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Josh,Canarini,219-808-7518,,ANYTIME FITNESS,JOSH,CANARINI
Apartment Building,24138,W,MAIN,ST,,,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,1,2,C,8,U,1,P,1,S,1,B,N,N,,,,,,,APARTMENT BUILDING,,
Apex Dental,11830,S,RT 59,,,,SUITE 110,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,1,S,4,H,1,P,1,W,,,,,APEX DENTAL,,
Apple Tree Preschool,24020,W,FRASER,RD,,,,PLAINFIELD,IL,60586,2,211,Preschool,1,1,2,C,2,H,N,N,,,,,N,N,,,Bill,Palmer,815-744-7976,,APPLE TREE PRESCHOOL,BILL,PALMER
Arand Media,24014,W,RENWICK,RD,,,SUITE 105-1,PLAINFIELD,IL,60544,5,599,Business office,2,0,7,B,4,U,1,P,5,M,4,H,1,P,2,D,Andrew,Randall,815-997-7114,,ARAND MEDIA,ANDREW,RANDALL
Armandmedia,15507,S,RT 59,,,,UNIT 4E,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,7,B,6,U,1,P,1,S,4,H,N,N,,,,,,,ARMANDMEDIA,,
Arris Architects And Planners,15119,S,DESPLAINES,ST,,,,PLAINFIELD,IL,60544,5,599,Business office,2,1,2,C,8,U,N,N,,,,,N,N,,,Michael,Lambert,815-436-6742,,ARRIS ARCHITECTS AND PLANNERS,MICHAEL,LAMBERT
As Built Management,13731,S,RT 30,,,,UNIT 111,PLAINFIELD,IL,60544,1,121,"Ballroom, gymnasium",1,0,7,B,4,U,1,P,5,M,4,H,N,N,,,,,,,AS BUILT MANAGEMENT,,
"As Built Management, Inc.",13731S,,RT 30,,,,UNIT 111,PLAINFIELD,IL,60544,5,549,Specialty shop,1,0,7,B,4,U,1,P,11,S,4,H,N,N,,,David,Anderson,815-474-4481,,"AS BUILT MANAGEMENT, INC.",DAVID,ANDERSON
Ascent Physical Therapy,13520,S,RT 59,,,,UNIT 106,PLAINFIELD,IL,60544,5,599,Business office,1,0,2,C,8,U,1,P,4,S,4,H,1,P,12,W,,,,,ASCENT PHYSICAL THERAPY,,
Ash Dome Manufacturing Company,24608,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,0,6,M,4,U,N,N,,,,,N,N,,,Richard,Olson,815-436-3876,,ASH DOME MANUFACTURING COMPANY,RICHARD,OLSON
Aspire Ventures & Seattle Suttons,12249,S,RHEA,DR,,,UNIT 2,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,6,M,3,P,N,N,,,,,N,N,,,Sherman,Neal,630-803-1427,,ASPIRE VENTURES & SEATTLE SUTTONS,SHERMAN,NEAL
Associated Orthodontists,24023,W,LOCKPORT,ST,,,UNIT 109,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",2,1,7,B,6,U,1,P,4,S,4,H,1,P,1,W,Scott,Soderquist,773-350-9473,,ASSOCIATED ORTHODONTISTS,SCOTT,SODERQUIST
Associates In Professional Counseling,24402,W,LOCKPORT,ST,,,SUITE 218,PLAINFIELD,IL,60544,5,599,Business office,2,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,Dj Investiments,815-609-8000,,ASSOCIATES IN PROFESSIONAL COUNSELING,,DJ INVESTIMENTS
At&t,11211,S,RT 59,,,,,NAPERVILLE,IL,60564,6,639,Communications center,1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,Corporate Real Estate,877-477-1811,,AT&T,,CORPORATE REAL ESTATE
At&t,24130,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,6,639,Communications center,1,1,7,B,1,F,1,P,1,S,4,H,1,P,1,W,Michael,Decesari,309-681-2626,,AT&T,MICHAEL,DECESARI
At&t Store,13501,S,RT 59,,,,UNIT 103,PLAINFIELD,IL,60544,5,549,Specialty shop,1,0,2,C,6,U,1,P,5,M,4,H,1,P,1,W,,,,,AT&T STORE,,
Atc Supply Llc,25752,W,143RD,ST,,,UNIT 104,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Rick,St. Paul,815-441-1594,,ATC SUPPLY LLC,RICK,ST. PAUL
Athletico,24402,W,LOCKPORT,ST,,,UNIT 100-102,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",2,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Caleb,Syfert,815-713-6472,,ATHLETICO,CALEB,SYFERT
Athletico Plainfield North,13311,S,RT 59,,,,101,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,Accelerated Rehab Cntr,312-640-0329,,ATHLETICO PLAINFIELD NORTH,,ACCELERATED REHAB CNTR
Athletico Plainfield North Add Space,13311,S,RT 59,,,,,PLAINFIELD,IL,60585,5,549,Specialty shop,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,ATHLETICO PLAINFIELD NORTH ADD SPACE,,
Ati Physical Therapy,23915,W,MAIN,ST,,,UNITS 105-109,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,0,7,B,4,U,N,N,,,,,N,N,,,Alyson,Jirmasek,815-546-2366,,ATI PHYSICAL THERAPY,ALYSON,JIRMASEK
Atlas Door Additional Space,23900,W,INDUSTRIAL,DR,S,,UNIT 2,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,6,M,4,U,1,P,3,C,4,H,N,N,,,,,,,ATLAS DOOR ADDITIONAL SPACE,,
Atlas Door Repair.com,23900,W,INDUSTRIAL,DR,S,,UNITS 1-2,PLAINFIELD,IL,60544,5,599,Business office,2,0,6,M,4,U,N,N,,,,,N,N,,,Susan,King,815-439-8705,,ATLAS DOOR REPAIR.COM,SUSAN,KING
Auburn/autumn Lakes Park,11701,S,MILLENIUM,PKY,,,,PLAINFIELD,IL,60585,9,900,Outside or special property,1,0,,,,,,,,,,,,,,,,,,,AUBURN/AUTUMN LAKES PARK,,
